sku,unmatchedTokens
LC15POL-AK,"iPhone 15 Pro | iPhone 15 برو"
LC15P-ORG,"iPhone 15 Pro | iPhone 15 برو"
LC15P-ZY,"iPhone 15 Pro | iPhone 15 برو"
LC15-TOP,"iPhone 15 | iPhone 15"
LC15-ZY,"iPhone 15 | iPhone 15"
LC16-FHD-AK,"iPhone 16 | iPhone 16"
LC16PM-ZY,"iPhone 16 Pro Max | iPhone 16"
LC16P-ZY,"iPhone 16 Pro | iPhone 16"
LC5GB,"iPhone 5 | iPhone 5"
LC5GW,"iPhone 5 | iPhone 5"
LC5SB -AK,"iPhone 5 | iPhone 5"
LC5SW -AK,"iPhone 5 | iPhone 5"
LC6+B -AK,"iPhone 6 Plus | iPhone 6 بلس"
LC6+W -AK,"iPhone 6 Plus | iPhone 6 بلس"
LC6GB - AK- AK,"iPhone 6 | iPhone 6"
LC6GW - AK- AK,"iPhone 6 | iPhone 6"
LC6S+B -AK,"iPhone 6 | iPhone 6"
LC6S+W -AK,"iPhone 6 | iPhone 6"
LC6SB -AK,"iPhone 6 | iPhone 6"
LC6SW -AK,"iPhone 6 | iPhone 6"
LC7+B -AK,"iPhone 7 Plus | iPhone 7 بلس"
LC7+W -AK,"iPhone 7 Plus | iPhone 7 بلس"
LC7GB -AK,"iPhone 7 | iPhone 7"
LC7GW -AK,"iPhone 7 | iPhone 7"
LC8+B -AK,"iPhone 8 Plus"
LC8+W -AK,"iPhone 8 Plus"
LCA013B,"Samsung A013 | Samsung A013 | A013"
LCA015BHQ,"A015"
LCA024WF-AK,"Samsung A042 | Samsung A042"
LCA02B,"Samsung A022 | Samsung A022 | A022"
LCA02HQW/F-AK,"Samsung A022 | Samsung A022 | A022"
LCA02SB,"A025"
LCA02S-TOPP-AK,"A025"
LCA02SWFBHQ,"A025"
LCA032WF-AK,"A032"
LCA035-AK,"Samsung A035 | Samsung A035 | A035"
LCA03BHQ,"Samsung A037 | Samsung A037 | A037"
LCA03BHQ- AK,"Samsung A037 | Samsung A037 | A037"
LCA03S-2022,"Samsung A037 | Samsung A037 | A037U"
LCA03SHQ,"Samsung A037 | Samsung A037 | A037"
LCA03SWFBHQ,"Samsung A037 | Samsung A037 | A037"
LCA03SWFBHQ- AK,"Samsung A037 | Samsung A037 | A037"
LCA042-AK,"Samsung A042 | Samsung A045 | Samsung A042 | Samsung A045 | A045 | M045"
LCA045-AK,"Samsung A045 | Samsung A045 | A045"
LCA045W/F-AK,"Samsung A045 | Samsung A045 | A045"
LCA04E-AK,"Samsung A042 | Samsung A042 | A042"
LCA04S-AK,"A047"
LCA04SW/F-AK,"A047"
LCA06-5G-TOPP,"Samsung A06 | Samsung A066 | Samsung A06 | Samsung A066 | A066"
LCA06-AK,"Samsung A06 | Samsung A065 | Samsung A06 | Samsung A065 | A065"
LCA10S,"Samsung A107 | Samsung A107"
LCA10SW/F-AK,"Samsung A107 | Samsung A107"
LCA115WFBHQ,"Samsung A115 | Samsung A115 | A115"
LCA11BHQ,"Samsung A115 | Samsung A115 | A115"
LCA12B,"A125"
LCA12SBHQ,"Samsung A127 | Samsung A127 | A127"
LCA12SW/F-AK,"Samsung A127 | Samsung A127 | A127"
LCA12WFBHQ,"A125"
LCA13-4G-AK,"Samsung A137 | Samsung A137 | A135 | A137"
LCA136-AK,"A136 | A047"
LCA13-A137-AK,"Samsung A137 | Samsung A137 | A137"
LCA13WF-AK,"Samsung A137 | Samsung A137 | A135 | A137"
LCA145-AK,"A145"
LCA145WFHQ-AK,"A145"
LCA146-AK,"Samsung A146 | Samsung A146 | A146"
LCA146P-AK,"Samsung A146 | Samsung A146 | Samsung A146 | Samsung A146 | A146P | A146U"
LCA146P-TOPP,"Samsung A146 | Samsung A146 | Samsung A146 | Samsung A146 | A146P | A146U"
LCA15-5GW/FHQ-AK,"Samsung A155 | Samsung A156 | Samsung A155 | Samsung A156 | A155 | A156"
LCA20BHQ,"Samsung A205 | Samsung A205 | A205"
LCA20BOL,"Samsung A205 | Samsung A205 | A205"
LCA20SB,"Samsung A207 | Samsung A207 | A207"
LCA20WFHQ-AK,"Samsung A205 | Samsung A205 | A205"
LCA21B,"Samsung A21 | Samsung A21 | A215"
LCA21SB,"Samsung A21 | Samsung A21 | A217"
LCA21SWFBHQ,"Samsung A21 | Samsung A21 | A217"
LCA225BHQ,"Samsung A22 | Samsung A225 | Samsung A22 | Samsung A225 | A225"
LCA225WFBHQ,"Samsung A22 | Samsung A225 | Samsung A22 | Samsung A225 | A225"
LCA226B,"Samsung A22 | Samsung A226 | Samsung A22 | Samsung A226 | A226"
LCA235-TOPP,"Samsung A23 | Samsung A235 | Samsung A235 | Samsung A235 | Samsung A23 | Samsung A235 | Samsung A235 | Samsung A235 | M336 | A235"
LCA236-TOPP,"Samsung A23 | Samsung A236 | Samsung A23 | Samsung A236 | A236"
LCA236W/F-AK,"Samsung A23 | Samsung A236 | Samsung A23 | Samsung A236 | A236"
LCA24-AK,"Samsung A24 | Samsung A245 | Samsung A24 | Samsung A245 | A245"
LCA24HQW/F-AK,"Samsung A24 | Samsung A245 | Samsung A24 | Samsung A245 | A245"
LCA24W/FOL-AK,"Samsung A24 | Samsung A245 | Samsung A24 | Samsung A245 | A245"
LCA256W/FHQ-AK,"Samsung A25 | Samsung A25"
LCA25W/FOL-AK,"Samsung A25 | Samsung A25 | Samsung A25"
LCA260,"Samsung A260 | Samsung A260"
LCA300G,"Samsung A300 | Samsung A300"
LCA30-A50BHQ,"A305 | A505"
LCA30-A50BOL,"A305 | A505"
LCA30S-A307HQW/F-AK,"Samsung A307 | Samsung A307 | A307"
LCA30SBHQ,"Samsung A307 | Samsung A307 | A307"
LCA30SBOL,"Samsung A307 | Samsung A307 | A307"
LCA30SWFBHQ,"Samsung A307 | Samsung A307 | A307"
LCA30SWFBOL,"Samsung A307 | Samsung A307 | A307"
LCA30WFBHQ,"A305"
LCA30WFBOL,"A305"
LCA310BHQ,"Samsung A3 | Samsung A3 | A310"
LCA310BOL,"Samsung A3 | Samsung A3 | A310"
LCA310WHQ,"Samsung A3 | Samsung A3 | A310"
LCA31BHQ,"A315"
LCA31HQWFB,"A315"
LCA31WFBOL,"A315"
LCA326WFBHQ,"Samsung A326 | Samsung A326 | A326"
LCA326WFBOL,"Samsung A326 | Samsung A326 | A326"
LCA336BL-OR,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
LCA336-OR,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
LCA336WFHQ-AK,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336"
LCA33OLW/FBL-AK,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
LCA33OLW/FG-AK,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
LCA33OLW/FW-AK,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
LCA33WFOL-AK,"Samsung A33 | Samsung A336 | Samsung A33 | Samsung A336 | A336"
LCA346HQ-AK,"A346"
LCA346OL-AK,"A346"
LCA346W/FOL-AK,"A346"
LCA346WF-AK,"A346"
LCA356WFHQ-AK,"Samsung A356 | Samsung A356 | A356"
LCA426BHQ,"Samsung A42 | Samsung A426 | Samsung A42 | Samsung A426 | A426"
LCA426HQW/F-AK,"Samsung A42 | Samsung A426 | Samsung A42 | Samsung A426 | A426"
LCA426WFBOL,"Samsung A42 | Samsung A426 | Samsung A42 | Samsung A426 | A426"
LCA500BHQ,"Samsung A500 | Samsung A5 | Samsung A500 | Samsung A5"
LCA50SBHQ,"A507"
LCA50SBOL,"A507"
LCA50WFBHQ,"A505"
LCA50WFBOL,"A505"
LCA510BHQ,"Samsung A5 | Samsung A510 | Samsung A5 | Samsung A510 | A510"
LCA510BOL,"Samsung A510 | Samsung A510"
LCA510WHQ,"Samsung A5 | Samsung A510 | Samsung A5 | Samsung A510 | A510"
LCA51BHQ,"A515"
LCA51BOL,"A515"
LCA51WFBHQ,"A515"
LCA51WFBOL,"A515"
LCA520BHQ,"Samsung A5 | Samsung A5 | A520"
LCA520BOL,"Samsung A5 | Samsung A5 | A520"
LCA520GHQ,"Samsung A5 | Samsung A5 | A520"
LCA5228WFBOL,"Samsung A52 | Samsung A52 | A528"
LCA525HQ-AK,"Samsung A52 | Samsung A52 | A525"
LCA526HQ-AK,"Samsung A52 | Samsung A526 | Samsung A52 | Samsung A526 | A526"
LCA526HQWF-AK,"Samsung A52 | Samsung A526 | Samsung A52 | Samsung A526 | A526"
LCA526WFOL-AK,"Samsung A52 | Samsung A526 | Samsung A52 | Samsung A526 | A526"
LCA528BHQ,"Samsung A52 | Samsung A52 | A528"
LCA528HQW/F,"Samsung A52 | Samsung A52 | A528"
LCA536-5GHQ-AK,"A536"
LCA53OLW/FBL-AK,"A536"
LCA53OLW/FG-AK,"A536"
LCA54-4G,"Samsung A54 | Samsung A54"
LCA546W/FHQ-AK,"Samsung A54 | Samsung A54 | A546"
LCA54W/FOL-AK,"Samsung A54 | Samsung A54 | A546"
LCA5GOL,"Samsung A5 | Samsung A5 | A520"
LCA605HQ,"Samsung A6 | Samsung A6 | A605"
LCA7.10.4B,"Samsung A7 | Samsung A7 | T505 | T500"
LCA70BHQ,"Samsung A705 | Samsung A705 | A705"
LCA70BOL,"Samsung A705 | Samsung A705 | A705"
LCA70WFBHQ,"Samsung A705 | Samsung A705 | A705"
LCA70WFBOL,"Samsung A705 | Samsung A705 | A705"
LCA70WF-FG,"Samsung A705 | Samsung A705 | A705"
LCA710WHQ,"Samsung A7 | Samsung A7 | A710"
LCA71BHQ,"Samsung A715 | Samsung A715 | A715"
LCA71BOL,"Samsung A715 | Samsung A715 | A715"
LCA71WFBHQ,"Samsung A715 | Samsung A715 | A715"
LCA71WFBOL,"Samsung A715 | Samsung A715 | A715"
LCA71WF-FG,"Samsung A715 | Samsung A715 | A715"
LCA720BHQ,"Samsung A7 | Samsung A720 | Samsung A7 | Samsung A720 | A720"
LCA720BOL,"Samsung A720 | Samsung A720"
LCA720GHQ,"Samsung A7 | Samsung A720 | Samsung A7 | Samsung A720 | A720"
LCA720GOL,"Samsung A720 | Samsung A720"
LCA726WFBOL,"Samsung A726 | Samsung A726 | A726"
LCA730HQ,"Samsung A730 | Samsung A730 | A730"
LCA730OL,"Samsung A730 | Samsung A730 | A730"
LCA73-5G,"Samsung A73 | Samsung A73 | A736"
LCA73W/FHQ-AK,"Samsung A73 | Samsung A73 | A736"
LCA73WF/OL-AK,"Samsung A73 | Samsung A738 | Samsung A73 | Samsung A738 | A738"
LCA750BHQ,"Samsung A7 | Samsung A7 | A750"
LCA750BOL,"Samsung A7 | Samsung A7 | A750"
LCA7L1911,"Samsung A7 | Samsung A7 | L1911"
LCA8.10.5,"Samsung A8 | Samsung A8 | X205"
LCA800G,"Samsung A800 | Samsung A800"
LCA8B20,"Samsung A8 | Samsung A8"
LCG530,"G531 | G532"
LCG570BHQ,"G570"
LCG570GHQ,"G570"
LCG570WHQ,"G570"
LCG610BHQ-AK,"G610"
LCG610GHQ-AK,"G610"
LCG610WHQ,"G610"
LCG611B,"G611"
LCG611G,"G611"
LCHT10-AK,"X682"
LCHT10L-AK,"X657C | X657 | X657B"
LCHT10PLAY,"X688 | X688C | X688B"
LCHT10PLAY- AK,"X688 | X688C | X688B"
LCHT10S-AK,"X6283"
LCHT11-AK,"X662 | X662B"
LCHT12-AK,"X6817B | X6817"
LCHT20I-AK,"X665C | X665E"
LCHT5,"X559C"
LCHT50I-AK,"X6532"
LCHT9PLAY,"X680 | X680C"
LCايفون10.2,"Samsung A2428 | Samsung A2429 | Samsung A2270 | Samsung A2430 | Samsung A2428 | Samsung A2429 | Samsung A2270 | Samsung A2430 | A2428 | A2429 | A2270 | A2430"
LCايفون10.2-2022,"Samsung A2757 | Samsung A2777 | Samsung A2757 | Samsung A2777 | A2757 | A2777"
LCايفون10.9-2022,"Samsung A2757 | Samsung A2777 | Samsung A2757 | Samsung A2777 | A2757 | A2777"
LCايفون10-A2696,"Samsung A2696 | Samsung A2696 | A2696"
LCايفون12B-FL,"Samsung A1584 | Samsung A1652 | Samsung A1584 | Samsung A1652 | A1584 | A1652"
LCايفون12W-FL,"Samsung A2379 | Samsung A2461 | Samsung A2462 | Samsung A2379 | Samsung A2461 | Samsung A2462 | A2379 | A2461 | A2462"
LCايفون13PRO,"Samsung A1895 | Samsung A2014 | Samsung A1895 | Samsung A2014 | Samsung A1895 | Samsung A2014"
LCايفون2,"Samsung A1395 | Samsung A1395 | A1395"
LCايفون3,"Samsung A1430 | Samsung A1403 | Samsung A1430 | Samsung A1403 | A1430 | A1403"
LCايفون5,"Samsung A1822 | Samsung A1823 | Samsung A1822 | Samsung A1823 | A1822 | A1823"
LCايفون5-6,"Samsung A1822 | Samsung A1823 | Samsung A1822 | Samsung A1823 | A1822 | A1823"
LCايفون7,"Samsung A2197 | Samsung A2200 | Samsung A2188 | Samsung A2197 | Samsung A2200 | Samsung A2188 | A2197 | A2200 | A2188"
LCايفون7B-FL,"Samsung A2197 | Samsung A2200 | Samsung A2188 | Samsung A2197 | Samsung A2200 | Samsung A2188 | A2200 | A2188"
LCايفون8-20,"Samsung A2428 | Samsung A2429 | Samsung A2270 | Samsung A2430 | Samsung A2428 | Samsung A2429 | Samsung A2270 | Samsung A2430 | A2428 | A2429 | A2270 | A2430"
LCايفون9.7B17-FL,"Samsung A1822 | Samsung A1823 | Samsung A1822 | Samsung A1823 | A1822 | A1823"
LCايفون9.7B201I-FL,"Samsung A1893 | Samsung A1954 | Samsung A1893 | Samsung A1954 | A1893 | A1954"
LCايفون9.7P-FL,"Samsung A1673 | Samsung A1674 | Samsung A1675 | Samsung A1673 | Samsung A1674 | Samsung A1675 | A1674 | A1675"
LCايفونA 1584W-FL,"Samsung A1584 | Samsung A1652 | Samsung A1584 | Samsung A1652 | A1584 | A1652"
LCايفونA1584B-FL,"Samsung A1584 | Samsung A1652 | Samsung A1584 | Samsung A1652 | A1584 | A1652"
LCايفونAIR2B-FUL,"Samsung A1567 | Samsung A1566 | Samsung A1567 | Samsung A1566 | A1567 | A1566"
LCايفونAIR2W-FUL,"Samsung A1567 | Samsung A1566 | Samsung A1567 | Samsung A1566 | A1567 | A1566"
LCايفونAIR3,"Samsung A2153 | Samsung A2123 | Samsung A2154 | Samsung A2152 | Samsung A2153 | Samsung A2123 | Samsung A2154 | Samsung A2152 | A2123 | A2154 | A2152"
LCايفونAIR4,"Samsung A2072 | Samsung A2325 | Samsung A2316 | Samsung A2072 | Samsung A2325 | Samsung A2316 | A2072 | A2325 | A2316"
LCايفونAIR5,"Samsung A2588 | Samsung A2588 | A2588"
LCايفونMN1,"Samsung A1432 | Samsung A1432 | A1432"
LCايفونMN2,"Samsung A1489 | Samsung A1599 | Samsung A1489 | Samsung A1599 | A1489 | A1599"
LCايفونMN4B-FL,"Samsung A1538 | Samsung A1550 | Samsung A1538 | Samsung A1550 | A1538 | A1550"
LCايفونMN4W-FL,"Samsung A1538 | Samsung A1550 | Samsung A1538 | Samsung A1550 | A1538 | A1550"
LCايفونMN5B-FL,"Samsung A2133 | Samsung A2126 | Samsung A2124 | Samsung A2125 | Samsung A2133 | Samsung A2126 | Samsung A2124 | Samsung A2125 | A2126 | A2124 | A2125"
LCايفونMN5W-FL,"Samsung A2133 | Samsung A2126 | Samsung A2124 | Samsung A2125 | Samsung A2133 | Samsung A2126 | Samsung A2124 | Samsung A2125 | A2126 | A2124 | A2125"
LCايفونP10.5B-FL,"Samsung A1701 | Samsung A1709 | Samsung A1852 | Samsung A1701 | Samsung A1709 | Samsung A1852 | A1701 | A1709 | A1852"
LCايفونP10.5W-FL,"Samsung A1701 | Samsung A1709 | Samsung A1852 | Samsung A1701 | Samsung A1709 | Samsung A1852 | A1701 | A1709 | A1852"
LCايفونP11B21-FL,"Samsung A2301 | Samsung A2459 | Samsung A2460 | Samsung A2301 | Samsung A2459 | Samsung A2460 | A2301 | A2459 | A2460"
LCايفونP11B-FL,"Samsung A2068 | Samsung A2230 | Samsung A2228 | Samsung A2231 | Samsung A2068 | Samsung A2230 | Samsung A2228 | Samsung A2231 | A2068 | A2230 | A2228 | A2231"
LCايفونP12.9,"Samsung A2378 | Samsung A2379 | Samsung A2461 | Samsung A2378 | Samsung A2379 | Samsung A2461"
LCايفونP12.9.5TH GEN,"Samsung A2379 | Samsung A2461 | Samsung A2462 | Samsung A2379 | Samsung A2461 | Samsung A2462 | A2379 | A2461 | A2462"
LCايفونP12.9B20-FL,"Samsung A2069 | Samsung A2232 | Samsung A2233 | Samsung A2229 | Samsung A2069 | Samsung A2232 | Samsung A2233 | Samsung A2229 | A2069 | A2232 | A2233 | A2229"
LCايفونP9.7W-FL,"Samsung A1673 | Samsung A1674 | Samsung A1675 | Samsung A1673 | Samsung A1674 | Samsung A1675 | A1674 | A1675"
LCITA26-AK,"Samsung A26 | Samsung A26"
LCITA27-AK,"Samsung A27 | Samsung A27"
LCITA49-AK,"Samsung A49 | Samsung A49"
LCITA50C/A06,"Samsung A06 | Samsung A06"
LCITA551L-AK,"Samsung A551 | Samsung A551"
LCITS23,"Samsung S3 | Samsung S3"
LCITVGN-PR-AK,"L6502"
LCITVSON3+-AK,"P682"
LCJ120BHQ,"J120"
LCJ120GHQ,"J120"
LCJ120WHQ,"J120"
LCJ200BHQ,"J200"
LCJ200GHQ,"J200"
LCJ200WHQ,"J200"
LCJ250BHQ,"J250"
LCJ250BOL,"J250"
LCJ250GHQ,"J250"
LCJ260BHQ,"J260"
LCJ320BHQ,"J320"
LCJ320GHQ,"J320"
LCJ320WHQ,"J320"
LCJ400BHQ,"J400"
LCJ400BLHQ,"J400"
LCJ400GHQ,"J400"
LCJ500BHQ,"J500"
LCJ500GHQ,"J500"
LCJ500WHQ,"J500"
LCJ510BHQ,"J510"
LCJ510GHQ,"J510"
LCJ510WHQ,"J510"
LCJ530BHQ,"J530"
LCJ530BLHQ,"J530"
LCJ530BOL,"J530"
LCJ530GHQ,"J530"
LCJ530GOL,"J530"
LCJ600BHQ,"J600"
LCJ610-J415-J410HQ,"J415 | J610"
LCJ700BHQ,"J700"
LCJ700GHQ,"J700"
LCJ700WHQ,"J700"
LCJ701BHQ,"J701"
LCJ701BOL,"J701"
LCJ701GHQ,"J701"
LCJ701WHQ,"J701"
LCJ710BHQ,"J710"
LCJ710BOL,"J710"
LCJ710GHQ,"J710"
LCJ710GOL,"J710"
LCJ710WHQ,"J710"
LCJ730BHQ,"J730"
LCJ730BLHQ,"J730"
LCJ730BOL-AK,"J730"
LCJ730GHQ,"J730"
LCJ730GOL,"J730"
LCJ800BHQ,"J810"
LCLEA6NOTE,"Samsung A6 | Samsung A6"
LCM02S-AK,"M025"
LCM115-AK,"M115"
LCM12-AK,"M125"
LCM13,"M135"
LCM31HQ-AK,"M315"
LCM31OL-AK,"M315"
LCM346HQ-AK,"M346"
LCM52.5G-AK,"M526"
LCM58B,"Samsung n2 | Samsung n2"
LCM7B,"M1810F"
LCM9TB,"Samsung Note 9 | Samsung Note 9"
LCMIA1+-AK,"Samsung A1+ | Samsung A1 | Samsung A1Plus | Samsung A2 | Samsung A2Plus | Samsung A1+ | Samsung A1 | Samsung A1Plus | Samsung A2 | Samsung A2Plus"
LCMIA2+-AK,"Samsung A2+ | Samsung A2+"
LCMIA2-AK,"Samsung A2 | Samsung A2"
LCMIA3-AK,"Samsung A3 | Samsung A3"
LCMIA3B,"Samsung A3 | Samsung A3"
LCMN114G-AK,"Samsung Note 11 | Samsung Note 12 | Samsung Note 12"
LCMN115G-AK,"Samsung Note 11"
LCMN11HQ-AK,"Samsung Note 11"
LCMN11PRHQ-AK,"Samsung Note 11"
LCMN12-4G-AK,"Samsung Note 12"
LCMN12-5G-AK,"Samsung Note 12"
LCMN12P-5G-AK,"Samsung Note 12"
LCMN5B,"Samsung Note 5"
LCMN7B,"Samsung Note 7"
LCMN8B,"Samsung Note 8"
LCMN8PB,"Samsung Note 8"
LCMN9B,"Samsung Note 9"
LCMN9PB,"Samsung Note 9 | Samsung Note 9"
LCMS2B,"Samsung S2 | Samsung S2"
LCN10+B,"Samsung N975 | Samsung N975 | N975"
LCN10+B-AAA,"Samsung N975 | Samsung N975 | N975"
LCN10+SL,"Samsung N975 | Samsung N975 | N975"
LCN10+SL-AAA,"Samsung N975 | Samsung N975 | N975"
LCN10B,"Samsung N970 | Samsung N970 | N970"
LCN10B-AAA,"Samsung N970 | Samsung N970 | N970"
LCN10LSL,"Samsung N770 | Samsung N770 | N770F"
LCN10LSL-OLED,"Samsung N770 | Samsung N770 | N770F"
LCN10SL,"Samsung N970 | Samsung N970 | N970"
LCN10SL-AAA,"Samsung N970 | Samsung N970 | N970"
LCN20B-ORG,"Samsung Note 20 | Samsung N980 | Samsung N981 | Samsung N980 | Samsung N981 | N980 | N981"
LCN20G-ORG,"Samsung Note 20 | Samsung N980 | Samsung N981 | Samsung N980 | Samsung N981 | N980 | N981"
LCN20GR-ORG,"Samsung Note 20 | Samsung N980 | Samsung N981 | Samsung N980 | Samsung N981 | N980 | N981"
LCN20UB-AAA,"Samsung Note 20 Ultra | Samsung N986 | Samsung N986 | N986"
LCN20UB-ORG,"Samsung Note 20 Ultra | Samsung N986 | Samsung N986 | N986"
LCN20UBZ,"Samsung Note 20 Ultra | Samsung N986 | Samsung N986"
LCN20UBZ-AAA,"Samsung Note 20 Ultra | Samsung N986 | Samsung N986 | N986"
LCN20UBZ-OLED,"Samsung Note 20 Ultra | Samsung N986 | Samsung N986 | N986"
LCN20UW-ORG,"Samsung Note 20 Ultra | Samsung N986 | Samsung N986"
LCN3B-WF,"Samsung Note 3 | Samsung N9005 | Samsung N9005 | N9005"
LCN3W -WF,"Samsung Note 3 | Samsung N9005 | Samsung N9005 | N9005"
LCN4MCOL,"Samsung Note 4 | Samsung N910 | Samsung N910 | N910"
LCN4OLB,"Samsung Note 4 | Samsung N910 | Samsung N910 | N910"
LCN4WOL,"Samsung Note 4 | Samsung N910 | Samsung N910 | N910"
LCN5BOL,"Samsung Note 5 | Samsung N920 | Samsung N920 | N920"
LCN5GOL,"Samsung Note 5 | Samsung N920 | Samsung N920"
LCN8B,"Samsung Note 8 | N950"
LCN8BL-ON,"Samsung Note 8"
LCN8B-ON,"Samsung Note 8"
LCN8G,"Samsung Note 8 | N950"
LCN8G-ON,"Samsung Note 8"
LCN8PU-ON,"Samsung Note 8"
LCN910BOL,"Samsung Note 4 | Samsung N910 | Samsung N910"
LCN9B,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
LCN9BL,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
LCN9BL-ON,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
LCN9B-ON,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
LCN9PU-ON,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
LCN9SL-ON,"Samsung Note 9 | Samsung N960 | Samsung N960 | N960"
LCNFN10P-AK,"X695"
LCNFN11-12,"Samsung Note 11 | X663"
LCNFN11-12-12PRO-AK,"Samsung Note 11"
LCNFN11PR-AK,"Samsung Note 11 | X697"
LCNFN12I-AK,"Samsung Note 12 | X6825"
LCNFN30-5G-AK,"iPhone 30 | X6711"
LCNFN30-AK,"X6833B | X6716B"
LCNFN7L-AK,"Samsung Note 7"
LCNFN8-AK,"Samsung Note 8 | X692"
LCNFSM6+-AK,"X6823"
LCNFSM6-AK,"X6511"
LCNOTA6B,"Samsung A6 | Samsung A6"
LCNOX10,"Samsung a1341 | Samsung A1344 | Samsung a1341 | Samsung A1344"
LCOA11,"Samsung A8 | Samsung A9 | Samsung A8 | Samsung A9"
LCOA3SB,"Samsung A3 | Samsung A3"
LCOA92-AK,"Samsung A92 | Samsung A92"
LCOA94-4G-AK,"Samsung A94 | Samsung A95 | Samsung A94 | Samsung A95"
LCOPA17-AK,"Samsung A17 | Samsung A17 | Samsung A17 | Samsung A17"
LCOPA18-AK,"Samsung A18 | Samsung A18"
LCOPA31-AK,"Samsung A8 | Samsung A8"
LCOPA5.2020-AK,"Samsung A5 | Samsung A5"
LCOPA52-AK,"Samsung A52 | Samsung A52"
LCOPA54-AK,"Samsung A54 | Samsung A54"
LCOPA57-AK,"Samsung A57 | Samsung A57"
LCOPA5S,"Samsung A5 | Samsung A7 | Samsung A5 | Samsung A7"
LCOPA73.5G-AK,"Samsung A73 | Samsung A73"
LCOPA76-AK,"Samsung A76 | Samsung A76"
LCOPA77.4G-AK,"Samsung A77 | Samsung A77"
LCOPA79,"Samsung A79 | Samsung A58 | Samsung A98 | Samsung A79 | Samsung A58 | Samsung A98"
LCOPA83-AK,"Samsung A83 | Samsung A83"
LCOPA93-4G-AK,"Samsung A93 | Samsung A93"
LCOPA93-5G-AK,"Samsung A93 | Samsung A92 | Samsung A52 | Samsung A93 | Samsung A93 | Samsung A92 | Samsung A52 | Samsung A93"
LCOPA94-5G-AK,"Samsung A95 | Samsung A95 | Samsung A95 | Samsung A95"
LCOPA96-AK,"Samsung A96 | Samsung A96"
LCOPF19-AK,"Samsung A74 | Samsung A94 | Samsung A74 | Samsung A94"
LCOPR3-AK,"Samsung A73 | Samsung A91 | Samsung A73 | Samsung A91"
LCP200,"Samsung A8 | Samsung A8 | P205"
LCP610,"P619"
LCPV4-AK,"X6826"
LCRA+-AK,"Samsung A1 Plus | Samsung A1"
LCRA3-2024-AK,"Samsung A3 | Samsung A3"
LCRA5-AK,"Samsung A5 | Samsung A5"
LCRC63-4G-AK,"Samsung N61 | Samsung N63 | Samsung N61 | Samsung N63"
LCRMA3-AK,"Samsung A3 | Samsung A3 | Samsung A3 | Samsung A3"
LCRMN12-AK,"Samsung Note 12"
LCS10+B,"Samsung S10 Plus"
LCS10+SL,"Samsung S10 Plus"
LCS10+SL-AAA,"Samsung S10 Plus | G975"
LCS10+WFBL-NO,"Samsung S10 Plus"
LCS10+WF-NO,"Samsung S10 Plus"
LCS10+WFOLED,"Samsung S10 Plus"
LCS10+WFW-NO,"Samsung S10 Plus"
LCS10B,"G973"
LCS10EB,"G973"
LCS10EG,"G973"
LCS10G,"G973"
LCS10WFOLB-NO,"Samsung S10 Plus"
LCS20+B,"Samsung S20 Plus | G985"
LCS20+B-AAA,"Samsung S20 Plus | G985"
LCS20+BL-AAA,"Samsung S20 Plus | G985"
LCS20+W-AAA,"Samsung S20 Plus | G985"
LCS20B,"G980"
LCS20FEWFB-ON,"G781"
LCS20FEWF-ON,"G781"
LCS20FEW-ORG,"G781 | G780"
LCS20G-ORG,"G991"
LCS20UB,"G988"
LCS20UB-AAA,"Samsung S20 Ultra | G988"
LCS20UG-AAA,"Samsung S20 Ultra | G988"
LCS20U-NO,"G988"
LCS21+G-AAA,"G996"
LCS21+S-AAA,"G996"
LCS21FEGR,"Samsung S21 Fe | Samsung S21 Fe"
LCS21UB-AAA,"G998"
LCS21UB-OLED,"G998"
LCS21USL-AAA,"G998"
LCS22UB-AAA,"Samsung S22 Ultra | Samsung S908 | Samsung S908 | S908"
LCS22UB-OLED,"Samsung S22 Ultra | Samsung S908 | Samsung S908 | S908"
LCS22UB-OR,"Samsung S22 Ultra | Samsung S908 | Samsung S908 | S908"
LCS22UBZ-AAA,"Samsung S22 Ultra | Samsung S908 | Samsung S908 | S908"
LCS22UBZ-ORG,"Samsung S22 Ultra | Samsung S908 | Samsung S908 | S908"
LCS22UGR-ORG,"Samsung S22 Ultra | Samsung S908 | Samsung S908 | S908"
LCS22W-ORG,"Samsung S901 | Samsung S901 | S901"
LCS23+BAAA,"Samsung S23 Plus | Samsung S916 | Samsung S916 | S916B"
LCS23B-ORG,"Samsung S911 | Samsung S911 | S911"
LCS23UB-AAA,"Samsung S918 | Samsung S918 | S918B"
